name,image_url
"Custom Doctorate Hood",/d/e/default_1.png
"Custom Diploma of Graduation Cover",/b/l/black_3.png
"",/g/r/graduation_world_custom_diploma_cover_740x940px-min.jpg
"Custom Master Hood",/d/e/default_2.png
"Custom Bachelor Hood",/d/e/default_1_2.png
"Single Document Diploma Frame",/s/i/single_document_diploma_frame_4_6.jpg
"",/s/i/single_document_diploma_frame_1_3_6.jpg
"",/s/i/single_document_frame_2_3_6.jpg
"Double Document Diploma Frame",/d/o/double_document_diploma_frame_1_1_3_6.jpg
"",/d/o/double_document_diploma_frame_4_6.jpg
"",/d/o/double_document_diploma_frame_1_4_6.jpg
"Horizontal Double Document Diploma Frame",/h/o/horizontal_double_document_diploma_frame_5_8.jpg
"",/h/o/horizontal_double_document_diploma_frame_1_2_8.jpg
"",/h/o/horizontal_double_document_diploma_frame_2_3_8.jpg
"Triple Document Diploma Frame",/t/r/triple_document_diploma_frame_1_3_6.jpg
"",/t/r/triple_document_diploma_frame_4_6.jpg
"Tassel and Diploma Frame",/t/a/tassel_and_diploma_frame_4_6.jpg
"",/t/a/tassel_and_diploma_frame_1_3_6.jpg
"Associates Hood (Shield)",/2/_/2_11.jpg
"",/1/_/1_11.jpg
"",/s/h/shield_1.jpg