name,color,description,Tassel Color 1,Tassel Color 2,Tassel Color 3
Custom Doctorate Hood,,Custom Doctorate Hood •Premium matte finished fabric •Crafted of velvet fabric and lined with satin for comfort •The hood measures 42" in length and 17" wide •Trimmed with velvet band 5" wide •Custom professional sewing and construction •Looping for attachment to doctoral gown,,,
Custom Diploma of Graduation Cover,,Diploma Cover •High quality leatherette bound material •Chose the text; font and logo that you want •Satin panel interior •Silk folded ribbons on the corners •Cover measures 8.5" by 11" and opens horizontally,,,
Custom Master Hood,,Custom Master Hood •Premium matte finished fabric  •Crafted of velvet fabric and lined with satin for comfort •The hood measures 42" in length and 17" wide •Premium 3" wide velvet degree color accents •Custom professional sewing and construction •Looping for attachment to master gown ,,,
Custom Bachelor Hood,,Custom Bachelor Hood •Premium matte finished fabric •Crafted of velvet fabric and lined with satin for comfort •The hood measures 42" in length •Premium 2 1/2" wide velvet degree color accents •Custom professional sewing and construction •Looping for attachment to bachelor gown,,,
Single Document Diploma Frame,,Single Document Diploma Frame,,,
Double Document Diploma Frame,,Double Document Diploma Frame,,,
Horizontal Double Document Diploma Frame,,Horizontal Double Document Diploma Frame,,,
Triple Document Diploma Frame,,Triple Document Diploma Frame,,,
Tassel and Diploma Frame,,Diploma Frame with Tassel,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White
Associates Hood (Shield),,Associates Degree Hood (Shield),,,Apricot;Aquamarine;Blue-Violet;Brown;Copper;Cream;Crimson;Dark Blue;Drab;Emerald Green;Gold;Gray;Hunter;Kelly Green;Light Blue;Lilac;Maize;Maroon;Midnight Blue;Navy Blue;Nile Green;Olive;Orange;Peacock Blue;Pink;Purple;Red;Royal Blue;Russet;Sage Green;Salmon Pink;Scarlet;Science Gold;Silver;White