name,color,description,TasselColor1,TasselColor2,TasselColor3
Shiny Navy Blue Elementary Graduation Gown,Navy Blue,&bull; Navy Blue non-see through; shiny tricot fabric&bull; Fitted yoke design with V-neckline&bull; Front center box pleats and ruched back&bull; Full-length front zipper in matching color&bull; Durable reinforced stitching&bull; Full length bodice&bull; Comes in many different sizes&bull; Also available in other colors,,,
Shiny Navy Blue Middle School and Junior High Graduation Gown,Navy Blue,&bull; Navy Blue non-see through; shiny tricot fabric&bull; Fitted yoke design with V-neckline&bull; Front center box pleats and ruched back&bull; Full-length front zipper in matching color&bull; Durable reinforced stitching&bull; Full length bodice&bull; Comes in many different sizes&bull; Also available in other colors,,,
Shiny Navy Blue High School Graduation Gown,Navy Blue,&bull; Navy Blue non-see through; shiny tricot fabric&bull; Fitted yoke design with V-neckline&bull; Front center box pleats and ruched back&bull; Full-length front zipper in matching color&bull; Durable reinforced stitching&bull; Full length bodice&bull; Comes in many different sizes&bull; Also available in other colors,,,
Shiny Navy Blue Faculty Staff Graduation Gown,Navy Blue,&bull; Navy Blue non-see through; shiny tricot fabric&bull; Fitted yoke design with V-neckline&bull; Front center box pleats and ruched back&bull; Full-length front zipper in matching color&bull; Durable reinforced stitching&bull; Full length bodice&bull; Comes in many different sizes&bull; Also available in other colors,,,
Shiny Navy Blue Technical and Vocational Graduation Gown,Navy Blue,&bull; Navy Blue non-see through; shiny tricot fabric&bull; Fitted yoke design with V-neckline&bull; Front center box pleats and ruched back&bull; Full-length front zipper in matching color&bull; Durable reinforced stitching&bull; Full length bodice&bull; Comes in many different sizes&bull; Also available in other colors,,,
Shiny Navy Blue College and University Graduation Gown,Navy Blue,&bull; Navy Blue non-see through; shiny tricot fabric&bull; Fitted yoke design with V-neckline&bull; Front center box pleats and ruched back&bull; Full-length front zipper in matching color&bull; Durable reinforced stitching&bull; Full length bodice&bull; Comes in many different sizes&bull; Also available in other colors,,,
Shiny Navy Blue Bachelor Graduation Gown,Navy Blue,&bull; Navy Blue non-see through; shiny tricot fabric&bull; Fitted yoke design with V-neckline&bull; Front center box pleats and ruched back&bull; Full-length front zipper in matching color&bull; Durable reinforced stitching&bull; Full length bodice&bull; Comes in many different sizes&bull; Also available in other colors,,,
Shiny Purple Elementary Graduation Gown,Purple,&bull; Royal purple non-see through tricot fabric&bull; Pleated front panels and front center zipper&bull; V-neckline with piping&bull; Ruched back with fitted yoke&bull; Full long sleeves with piping&bull; With reinforced stitching&bull; Comes in a variety of sizes&bull; Can also be ordered in other colors,,,
Shiny Purple Middle School and Junior High Graduation Gown,Purple,&bull; Royal purple non-see through tricot fabric&bull; Pleated front panels and front center zipper&bull; V-neckline with piping&bull; Ruched back with fitted yoke&bull; Full long sleeves with piping&bull; With reinforced stitching&bull; Comes in a variety of sizes&bull; Can also be ordered in other colors,,,
Shiny Purple High School Graduation Gown,Purple,&bull; Royal purple non-see through tricot fabric&bull; Pleated front panels and front center zipper&bull; V-neckline with piping&bull; Ruched back with fitted yoke&bull; Full long sleeves with piping&bull; With reinforced stitching&bull; Comes in a variety of sizes&bull; Can also be ordered in other colors,,,
Shiny Purple Faculty Staff Graduation Gown,Purple,&bull; Royal purple non-see through tricot fabric&bull; Pleated front panels and front center zipper&bull; V-neckline with piping&bull; Ruched back with fitted yoke&bull; Full long sleeves with piping&bull; With reinforced stitching&bull; Comes in a variety of sizes&bull; Can also be ordered in other colors,,,
Shiny Purple Technical and Vocational Graduation Gown,Purple,&bull; Royal purple non-see through tricot fabric&bull; Pleated front panels and front center zipper&bull; V-neckline with piping&bull; Ruched back with fitted yoke&bull; Full long sleeves with piping&bull; With reinforced stitching&bull; Comes in a variety of sizes&bull; Can also be ordered in other colors,,,
Shiny Purple College and University Graduation Gown,Purple,&bull; Royal purple non-see through tricot fabric&bull; Pleated front panels and front center zipper&bull; V-neckline with piping&bull; Ruched back with fitted yoke&bull; Full long sleeves with piping&bull; With reinforced stitching&bull; Comes in a variety of sizes&bull; Can also be ordered in other colors,,,
Shiny Purple Bachelor Graduation Gown,Purple,&bull; Royal purple non-see through tricot fabric&bull; Pleated front panels and front center zipper&bull; V-neckline with piping&bull; Ruched back with fitted yoke&bull; Full long sleeves with piping&bull; With reinforced stitching&bull; Comes in a variety of sizes&bull; Can also be ordered in other colors,,,
Shiny Gold Elementary Graduation Gown,Gold,&bull; Elegant high-quality gold tricot fabric&bull; Twin box pleats on front bodice&bull; Ruched back with fitted yoke design&bull; V-shaped neckline with piping&bull; Front full-length color matched zipper &bull; Reinforced stitching&bull; Available in many different sizes&bull; Can also be ordered in other colors,,,
Shiny Gold Middle School and Junior High Graduation Gown,Gold,&bull; Elegant high-quality gold tricot fabric&bull; Twin box pleats on front bodice&bull; Ruched back with fitted yoke design&bull; V-shaped neckline with piping&bull; Front full-length color matched zipper &bull; Reinforced stitching&bull; Available in many different sizes&bull; Can also be ordered in other colors,,,
Shiny Gold High School Graduation Gown,Gold,&bull; Elegant high-quality gold tricot fabric&bull; Twin box pleats on front bodice&bull; Ruched back with fitted yoke design&bull; V-shaped neckline with piping&bull; Front full-length color matched zipper &bull; Reinforced stitching&bull; Available in many different sizes&bull; Can also be ordered in other colors,,,
Shiny Gold Faculty Staff Graduation Gown,Gold,&bull; Elegant high-quality gold tricot fabric&bull; Twin box pleats on front bodice&bull; Ruched back with fitted yoke design&bull; V-shaped neckline with piping&bull; Front full-length color matched zipper &bull; Reinforced stitching&bull; Available in many different sizes&bull; Can also be ordered in other colors,,,
Shiny Gold Technical and Vocational Graduation Gown,Gold,&bull; Elegant high-quality gold tricot fabric&bull; Twin box pleats on front bodice&bull; Ruched back with fitted yoke design&bull; V-shaped neckline with piping&bull; Front full-length color matched zipper &bull; Reinforced stitching&bull; Available in many different sizes&bull; Can also be ordered in other colors,,,
Shiny Gold College and University Graduation Gown,Gold,&bull; Elegant high-quality gold tricot fabric&bull; Twin box pleats on front bodice&bull; Ruched back with fitted yoke design&bull; V-shaped neckline with piping&bull; Front full-length color matched zipper &bull; Reinforced stitching&bull; Available in many different sizes&bull; Can also be ordered in other colors,,,
Shiny Gold Bachelor Graduation Gown,Gold,&bull; Elegant high-quality gold tricot fabric&bull; Twin box pleats on front bodice&bull; Ruched back with fitted yoke design&bull; V-shaped neckline with piping&bull; Front full-length color matched zipper &bull; Reinforced stitching&bull; Available in many different sizes&bull; Can also be ordered in other colors,,,
Shiny Orange Elementary Graduation Gown,Orange,&bull; Orange premium quality tricot material&bull; Front center pleats and color matched front zipper&bull; Fitted yoke &bull; Ruched back design&bull; Long sleeves with piping&bull; V-neckline&bull; In a variety of sizes&bull; Also available in other color options,,,
Shiny Orange Middle School and Junior High Graduation Gown,Orange,&bull; Orange premium quality tricot material&bull; Front center pleats and color matched front zipper&bull; Fitted yoke &bull; Ruched back design&bull; Long sleeves with piping&bull; V-neckline&bull; In a variety of sizes&bull; Also available in other color options,,,
Shiny Orange High School Graduation Gown,Orange,&bull; Orange premium quality tricot material&bull; Front center pleats and color matched front zipper&bull; Fitted yoke &bull; Ruched back design&bull; Long sleeves with piping&bull; V-neckline&bull; In a variety of sizes&bull; Also available in other color options,,,
Shiny Orange Faculty Staff Graduation Gown,Orange,&bull; Orange premium quality tricot material&bull; Front center pleats and color matched front zipper&bull; Fitted yoke &bull; Ruched back design&bull; Long sleeves with piping&bull; V-neckline&bull; In a variety of sizes&bull; Also available in other color options,,,
Shiny Orange Technical and Vocational Graduation Gown,Orange,&bull; Orange premium quality tricot material&bull; Front center pleats and color matched front zipper&bull; Fitted yoke &bull; Ruched back design&bull; Long sleeves with piping&bull; V-neckline&bull; In a variety of sizes&bull; Also available in other color options,,,
Shiny Orange College and University Graduation Gown,Orange,&bull; Orange premium quality tricot material&bull; Front center pleats and color matched front zipper&bull; Fitted yoke &bull; Ruched back design&bull; Long sleeves with piping&bull; V-neckline&bull; In a variety of sizes&bull; Also available in other color options,,,
Shiny Orange Bachelor Graduation Gown,Orange,&bull; Orange premium quality tricot material&bull; Front center pleats and color matched front zipper&bull; Fitted yoke &bull; Ruched back design&bull; Long sleeves with piping&bull; V-neckline&bull; In a variety of sizes&bull; Also available in other color options,,,
Shiny Pink Elementary Graduation Gown,Pink,&bull; Soft pink high quality non-see through fabric&bull; Ruched back design with fitted yoke&bull; Long full sleeves&bull; Full length bodice&bull; Front flat pleats on both side panels&bull; Front zipper for ease of wear&bull; Comes in many different sizes&bull; Available in other shades,,,
Shiny Pink Middle School and Junior High Graduation Gown,Pink,&bull; Soft pink high quality non-see through fabric&bull; Ruched back design with fitted yoke&bull; Long full sleeves&bull; Full length bodice&bull; Front flat pleats on both side panels&bull; Front zipper for ease of wear&bull; Comes in many different sizes&bull; Available in other shades,,,
Shiny Pink High School Graduation Gown,Pink,&bull; Soft pink high quality non-see through fabric&bull; Ruched back design with fitted yoke&bull; Long full sleeves&bull; Full length bodice&bull; Front flat pleats on both side panels&bull; Front zipper for ease of wear&bull; Comes in many different sizes&bull; Available in other shades,,,
Shiny Pink Faculty Staff Graduation Gown,Pink,&bull; Soft pink high quality non-see through fabric&bull; Ruched back design with fitted yoke&bull; Long full sleeves&bull; Full length bodice&bull; Front flat pleats on both side panels&bull; Front zipper for ease of wear&bull; Comes in many different sizes&bull; Available in other shades,,,
Shiny Pink Technical and Vocational Graduation Gown,Pink,&bull; Soft pink high quality non-see through fabric&bull; Ruched back design with fitted yoke&bull; Long full sleeves&bull; Full length bodice&bull; Front flat pleats on both side panels&bull; Front zipper for ease of wear&bull; Comes in many different sizes&bull; Available in other shades,,,
Shiny Pink College and University Graduation Gown,Pink,&bull; Soft pink high quality non-see through fabric&bull; Ruched back design with fitted yoke&bull; Long full sleeves&bull; Full length bodice&bull; Front flat pleats on both side panels&bull; Front zipper for ease of wear&bull; Comes in many different sizes&bull; Available in other shades,,,
Shiny Pink Bachelor Graduation Gown,Pink,&bull; Soft pink high quality non-see through fabric&bull; Ruched back design with fitted yoke&bull; Long full sleeves&bull; Full length bodice&bull; Front flat pleats on both side panels&bull; Front zipper for ease of wear&bull; Comes in many different sizes&bull; Available in other shades,,,
Shiny Red Elementary Graduation Gown,Red,&bull; Shiny red high-quality tricot fabric&bull; Front flat pleats and front zipper&bull; V-neckline with piping&bull; Fitted yoke with ruched back&bull; Long full sleeves and full length bodice&bull; Reinforced stitching adds durability&bull; Can be ordered in a variety of sizes&bull; Also available in other colors,,,
Shiny Red Middle School and Junior High Graduation Gown,Red,&bull; Shiny red high-quality tricot fabric&bull; Front flat pleats and front zipper&bull; V-neckline with piping&bull; Fitted yoke with ruched back&bull; Long full sleeves and full length bodice&bull; Reinforced stitching adds durability&bull; Can be ordered in a variety of sizes&bull; Also available in other colors,,,
Shiny Red High School Graduation Gown,Red,&bull; Shiny red high-quality tricot fabric&bull; Front flat pleats and front zipper&bull; V-neckline with piping&bull; Fitted yoke with ruched back&bull; Long full sleeves and full length bodice&bull; Reinforced stitching adds durability&bull; Can be ordered in a variety of sizes&bull; Also available in other colors,,,
Shiny Red Faculty Staff Graduation Gown,Red,&bull; Shiny red high-quality tricot fabric&bull; Front flat pleats and front zipper&bull; V-neckline with piping&bull; Fitted yoke with ruched back&bull; Long full sleeves and full length bodice&bull; Reinforced stitching adds durability&bull; Can be ordered in a variety of sizes&bull; Also available in other colors,,,
Shiny Red Technical and Vocational Graduation Gown,Red,&bull; Shiny red high-quality tricot fabric&bull; Front flat pleats and front zipper&bull; V-neckline with piping&bull; Fitted yoke with ruched back&bull; Long full sleeves and full length bodice&bull; Reinforced stitching adds durability&bull; Can be ordered in a variety of sizes&bull; Also available in other colors,,,
Shiny Red College and University Graduation Gown,Red,&bull; Shiny red high-quality tricot fabric&bull; Front flat pleats and front zipper&bull; V-neckline with piping&bull; Fitted yoke with ruched back&bull; Long full sleeves and full length bodice&bull; Reinforced stitching adds durability&bull; Can be ordered in a variety of sizes&bull; Also available in other colors,,,
Shiny Red Bachelor Graduation Gown,Red,&bull; Shiny red high-quality tricot fabric&bull; Front flat pleats and front zipper&bull; V-neckline with piping&bull; Fitted yoke with ruched back&bull; Long full sleeves and full length bodice&bull; Reinforced stitching adds durability&bull; Can be ordered in a variety of sizes&bull; Also available in other colors,,,
Shiny Maroon Elementary Graduation Gown,Maroon,&bull; Maroon non-see through; shiny tricot fabric&bull; Comfortable classic graduation gown design&bull; V-neckline with piping and fitted yoke&bull; Front flat pleats on each side panel&bull; Ruched back for comfortable fit&bull; Reinforced stitching for durability&bull; In many different sizes&bull; Also available in other colors,,,
Shiny Maroon Middle School and Junior High Graduation Gown,Maroon,&bull; Maroon non-see through; shiny tricot fabric&bull; Comfortable classic graduation gown design&bull; V-neckline with piping and fitted yoke&bull; Front flat pleats on each side panel&bull; Ruched back for comfortable fit&bull; Reinforced stitching for durability&bull; In many different sizes&bull; Also available in other colors,,,
Shiny Maroon High School Graduation Gown,Maroon,&bull; Maroon non-see through; shiny tricot fabric&bull; Comfortable classic graduation gown design&bull; V-neckline with piping and fitted yoke&bull; Front flat pleats on each side panel&bull; Ruched back for comfortable fit&bull; Reinforced stitching for durability&bull; In many different sizes&bull; Also available in other colors,,,
Shiny Maroon Faculty Staff Graduation Gown,Maroon,&bull; Maroon non-see through; shiny tricot fabric&bull; Comfortable classic graduation gown design&bull; V-neckline with piping and fitted yoke&bull; Front flat pleats on each side panel&bull; Ruched back for comfortable fit&bull; Reinforced stitching for durability&bull; In many different sizes&bull; Also available in other colors,,,
Shiny Maroon Technical and Vocational Graduation Gown,Maroon,&bull; Maroon non-see through; shiny tricot fabric&bull; Comfortable classic graduation gown design&bull; V-neckline with piping and fitted yoke&bull; Front flat pleats on each side panel&bull; Ruched back for comfortable fit&bull; Reinforced stitching for durability&bull; In many different sizes&bull; Also available in other colors,,,
Shiny Maroon College and University Graduation Gown,Maroon,&bull; Maroon non-see through; shiny tricot fabric&bull; Comfortable classic graduation gown design&bull; V-neckline with piping and fitted yoke&bull; Front flat pleats on each side panel&bull; Ruched back for comfortable fit&bull; Reinforced stitching for durability&bull; In many different sizes&bull; Also available in other colors,,,
Shiny Maroon Bachelor Graduation Gown,Maroon,&bull; Maroon non-see through; shiny tricot fabric&bull; Comfortable classic graduation gown design&bull; V-neckline with piping and fitted yoke&bull; Front flat pleats on each side panel&bull; Ruched back for comfortable fit&bull; Reinforced stitching for durability&bull; In many different sizes&bull; Also available in other colors,,,
Shiny Brown Elementary Graduation Gown,Brown,&bull; Brown high quality  shiny tricot fabric&bull; Front center pleats with center zipper&bull; Full length bodice&bull; V-shaped neckline&bull; Full long sleeves &bull; Reinforced stitching&bull; Can be ordered in different sizes&bull; Also available in other colors,,,
Shiny Brown Middle School and Junior High Graduation Gown,Brown,&bull; Brown high quality  shiny tricot fabric&bull; Front center pleats with center zipper&bull; Full length bodice&bull; V-shaped neckline&bull; Full long sleeves &bull; Reinforced stitching&bull; Can be ordered in different sizes&bull; Also available in other colors,,,
Shiny Brown High School Graduation Gown,Brown,&bull; Brown high quality  shiny tricot fabric&bull; Front center pleats with center zipper&bull; Full length bodice&bull; V-shaped neckline&bull; Full long sleeves &bull; Reinforced stitching&bull; Can be ordered in different sizes&bull; Also available in other colors,,,
Shiny Brown Faculty Staff Graduation Gown,Brown,&bull; Brown high quality  shiny tricot fabric&bull; Front center pleats with center zipper&bull; Full length bodice&bull; V-shaped neckline&bull; Full long sleeves &bull; Reinforced stitching&bull; Can be ordered in different sizes&bull; Also available in other colors,,,
Shiny Brown Technical and Vocational Graduation Gown,Brown,&bull; Brown high quality  shiny tricot fabric&bull; Front center pleats with center zipper&bull; Full length bodice&bull; V-shaped neckline&bull; Full long sleeves &bull; Reinforced stitching&bull; Can be ordered in different sizes&bull; Also available in other colors,,,
Shiny Brown College and University Graduation Gown,Brown,&bull; Brown high quality  shiny tricot fabric&bull; Front center pleats with center zipper&bull; Full length bodice&bull; V-shaped neckline&bull; Full long sleeves &bull; Reinforced stitching&bull; Can be ordered in different sizes&bull; Also available in other colors,,,
Shiny Brown Bachelor Graduation Gown,Brown,&bull; Brown high quality  shiny tricot fabric&bull; Front center pleats with center zipper&bull; Full length bodice&bull; V-shaped neckline&bull; Full long sleeves &bull; Reinforced stitching&bull; Can be ordered in different sizes&bull; Also available in other colors,,,
Shiny Green Elementary Graduation Gown,Green,&bull; Green shiny; non-see through; high quality tricot fabric&bull; Front pleats with center zipper&bull; Fitted yoke with ruched back&bull; Full long sleeves with piping&bull; V-neckline with piping&bull; Reinforced stitching for durability&bull; Order in a variety of sizes&bull; Design also comes in other colors,,,
Shiny Green Middle School and Junior High Graduation Gown,Green,&bull; Green shiny; non-see through; high quality tricot fabric&bull; Front pleats with center zipper&bull; Fitted yoke with ruched back&bull; Full long sleeves with piping&bull; V-neckline with piping&bull; Reinforced stitching for durability&bull; Order in a variety of sizes&bull; Design also comes in other colors,,,
Shiny Green High School Graduation Gown,Green,&bull; Green shiny; non-see through; high quality tricot fabric&bull; Front pleats with center zipper&bull; Fitted yoke with ruched back&bull; Full long sleeves with piping&bull; V-neckline with piping&bull; Reinforced stitching for durability&bull; Order in a variety of sizes&bull; Design also comes in other colors,,,
Shiny Green Faculty Staff Graduation Gown,Green,&bull; Green shiny; non-see through; high quality tricot fabric&bull; Front pleats with center zipper&bull; Fitted yoke with ruched back&bull; Full long sleeves with piping&bull; V-neckline with piping&bull; Reinforced stitching for durability&bull; Order in a variety of sizes&bull; Design also comes in other colors,,,
Shiny Green Technical and Vocational Graduation Gown,Green,&bull; Green shiny; non-see through; high quality tricot fabric&bull; Front pleats with center zipper&bull; Fitted yoke with ruched back&bull; Full long sleeves with piping&bull; V-neckline with piping&bull; Reinforced stitching for durability&bull; Order in a variety of sizes&bull; Design also comes in other colors,,,
Shiny Green College and University Graduation Gown,Green,&bull; Green shiny; non-see through; high quality tricot fabric&bull; Front pleats with center zipper&bull; Fitted yoke with ruched back&bull; Full long sleeves with piping&bull; V-neckline with piping&bull; Reinforced stitching for durability&bull; Order in a variety of sizes&bull; Design also comes in other colors,,,
Shiny Green Bachelor Graduation Gown,Green,&bull; Green shiny; non-see through; high quality tricot fabric&bull; Front pleats with center zipper&bull; Fitted yoke with ruched back&bull; Full long sleeves with piping&bull; V-neckline with piping&bull; Reinforced stitching for durability&bull; Order in a variety of sizes&bull; Design also comes in other colors,,,
Shiny Emerald Green Elementary Graduation Gown,Green,&bull; High quality tricot fabric in emerald green color&bull; Front center zipper with box pleats on the side&bull; Ruched back and fitted yoke for comfortable fit&bull; V-neckline and full long sleeves with piping&bull; Reinforced stitching for durability&bull; Comes in a variety of sizes&bull; Also available in other colors,,,
Shiny Emerald Green Middle School and Junior High Graduation Gown,Green,&bull; High quality tricot fabric in emerald green color&bull; Front center zipper with box pleats on the side&bull; Ruched back and fitted yoke for comfortable fit&bull; V-neckline and full long sleeves with piping&bull; Reinforced stitching for durability&bull; Comes in a variety of sizes&bull; Also available in other colors,,,
Shiny Emerald Green High School Graduation Gown,Green,&bull; High quality tricot fabric in emerald green color&bull; Front center zipper with box pleats on the side&bull; Ruched back and fitted yoke for comfortable fit&bull; V-neckline and full long sleeves with piping&bull; Reinforced stitching for durability&bull; Comes in a variety of sizes&bull; Also available in other colors,,,
Shiny Emerald Green Faculty Staff Graduation Gown,Green,&bull; High quality tricot fabric in emerald green color&bull; Front center zipper with box pleats on the side&bull; Ruched back and fitted yoke for comfortable fit&bull; V-neckline and full long sleeves with piping&bull; Reinforced stitching for durability&bull; Comes in a variety of sizes&bull; Also available in other colors,,,
Shiny Emerald Green Technical and Vocational Graduation Gown,Green,&bull; High quality tricot fabric in emerald green color&bull; Front center zipper with box pleats on the side&bull; Ruched back and fitted yoke for comfortable fit&bull; V-neckline and full long sleeves with piping&bull; Reinforced stitching for durability&bull; Comes in a variety of sizes&bull; Also available in other colors,,,
Shiny Emerald Green College and University Graduation Gown,Green,&bull; High quality tricot fabric in emerald green color&bull; Front center zipper with box pleats on the side&bull; Ruched back and fitted yoke for comfortable fit&bull; V-neckline and full long sleeves with piping&bull; Reinforced stitching for durability&bull; Comes in a variety of sizes&bull; Also available in other colors,,,
Shiny Emerald Green Bachelor Graduation Gown,Green,&bull; High quality tricot fabric in emerald green color&bull; Front center zipper with box pleats on the side&bull; Ruched back and fitted yoke for comfortable fit&bull; V-neckline and full long sleeves with piping&bull; Reinforced stitching for durability&bull; Comes in a variety of sizes&bull; Also available in other colors,,,
Matte Hunter Green Elementary Graduation Gown,Hunter Green,&bull; Hunter green polyester cloth with matte finish&bull; Full long sleeves and full length bodice&bull; V-neckline with fitted yoke&bull; Ruched back design and front pleats allow for comfortable fit&bull; Durable reinforced stitching&bull; Regular and full fit sizing options available&bull; Also available in other colors,,,
Matte Hunter Green Middle School and Junior High Graduation Gown,Hunter Green,&bull; Hunter green polyester cloth with matte finish&bull; Full long sleeves and full length bodice&bull; V-neckline with fitted yoke&bull; Ruched back design and front pleats allow for comfortable fit&bull; Durable reinforced stitching&bull; Regular and full fit sizing options available&bull; Also available in other colors,,,
Matte Hunter Green High School Graduation Gown,Hunter Green,&bull; Hunter green polyester cloth with matte finish&bull; Full long sleeves and full length bodice&bull; V-neckline with fitted yoke&bull; Ruched back design and front pleats allow for comfortable fit&bull; Durable reinforced stitching&bull; Regular and full fit sizing options available&bull; Also available in other colors,,,
Matte Hunter Green Faculty Staff Graduation Gown,Hunter Green,&bull; Hunter green polyester cloth with matte finish&bull; Full long sleeves and full length bodice&bull; V-neckline with fitted yoke&bull; Ruched back design and front pleats allow for comfortable fit&bull; Durable reinforced stitching&bull; Regular and full fit sizing options available&bull; Also available in other colors,,,
Matte Hunter Green Technical and Vocational Graduation Gown,Hunter Green,&bull; Hunter green polyester cloth with matte finish&bull; Full long sleeves and full length bodice&bull; V-neckline with fitted yoke&bull; Ruched back design and front pleats allow for comfortable fit&bull; Durable reinforced stitching&bull; Regular and full fit sizing options available&bull; Also available in other colors,,,
Matte Hunter Green College and University Graduation Gown,Hunter Green,&bull; Hunter green polyester cloth with matte finish&bull; Full long sleeves and full length bodice&bull; V-neckline with fitted yoke&bull; Ruched back design and front pleats allow for comfortable fit&bull; Durable reinforced stitching&bull; Regular and full fit sizing options available&bull; Also available in other colors,,,
Matte Hunter Green Bachelor Graduation Gown,Hunter Green,&bull; Hunter green polyester cloth with matte finish&bull; Full long sleeves and full length bodice&bull; V-neckline with fitted yoke&bull; Ruched back design and front pleats allow for comfortable fit&bull; Durable reinforced stitching&bull; Regular and full fit sizing options available&bull; Also available in other colors,,,
Shiny Black Elementary Graduation Gown,Black,&bull; Shiny black tricot fabric&bull; V-neckline with fitted yoke&bull; Front zipper in matching color&bull; Comfortable design and fit&bull; With front center pleats&bull; Reinforced stitching ensures durability&bull; Also comes in a variety of colors&bull; Available in many different sizes,,,
Shiny Black Middle School and Junior High Graduation Gown,Black,&bull; Shiny black tricot fabric&bull; V-neckline with fitted yoke&bull; Front zipper in matching color&bull; Comfortable design and fit&bull; With front center pleats&bull; Reinforced stitching ensures durability&bull; Also comes in a variety of colors&bull; Available in many different sizes,,,
Shiny Black High School Graduation Gown,Black,&bull; Shiny black tricot fabric&bull; V-neckline with fitted yoke&bull; Front zipper in matching color&bull; Comfortable design and fit&bull; With front center pleats&bull; Reinforced stitching ensures durability&bull; Also comes in a variety of colors&bull; Available in many different sizes,,,
