name,color,description,TasselColor1,TasselColor2,TasselColor3
Shiny Black Faculty Staff Graduation Gown,Black,&bull; Shiny black tricot fabric&bull; V-neckline with fitted yoke&bull; Front zipper in matching color&bull; Comfortable design and fit&bull; With front center pleats&bull; Reinforced stitching ensures durability&bull; Also comes in a variety of colors&bull; Available in many different sizes,,,
Shiny Black Technical and Vocational Graduation Gown,Black,&bull; Shiny black tricot fabric&bull; V-neckline with fitted yoke&bull; Front zipper in matching color&bull; Comfortable design and fit&bull; With front center pleats&bull; Reinforced stitching ensures durability&bull; Also comes in a variety of colors&bull; Available in many different sizes,,,
Shiny Black College and University Graduation Gown,Black,&bull; Shiny black tricot fabric&bull; V-neckline with fitted yoke&bull; Front zipper in matching color&bull; Comfortable design and fit&bull; With front center pleats&bull; Reinforced stitching ensures durability&bull; Also comes in a variety of colors&bull; Available in many different sizes,,,
Shiny Black Bachelor Graduation Gown,Black,&bull; Shiny black tricot fabric&bull; V-neckline with fitted yoke&bull; Front zipper in matching color&bull; Comfortable design and fit&bull; With front center pleats&bull; Reinforced stitching ensures durability&bull; Also comes in a variety of colors&bull; Available in many different sizes,,,
Matte White Elementary Graduation Gown,White,&bull; High-quality; white matte non-see through polyester fabric&bull; Fitted yoke with ruched back design&bull; Front box pleats on both front panels&bull; Full-length front zipper in white&bull; V-shaped neckline with piping&bull; Added durability with reinforced stitching&bull; Available in regular and full-fit sizes,,,
Matte White Middle School and Junior High Graduation Gown,White,&bull; High-quality; white matte non-see through polyester fabric&bull; Fitted yoke with ruched back design&bull; Front box pleats on both front panels&bull; Full-length front zipper in white&bull; V-shaped neckline with piping&bull; Added durability with reinforced stitching&bull; Available in regular and full-fit sizes,,,
Matte White High School Graduation Gown,White,&bull; High-quality; white matte non-see through polyester fabric&bull; Fitted yoke with ruched back design&bull; Front box pleats on both front panels&bull; Full-length front zipper in white&bull; V-shaped neckline with piping&bull; Added durability with reinforced stitching&bull; Available in regular and full-fit sizes,,,
Matte White Faculty Staff Graduation Gown,White,&bull; High-quality; white matte non-see through polyester fabric&bull; Fitted yoke with ruched back design&bull; Front box pleats on both front panels&bull; Full-length front zipper in white&bull; V-shaped neckline with piping&bull; Added durability with reinforced stitching&bull; Available in regular and full-fit sizes,,,
Matte White Technical and Vocational Graduation Gown,White,&bull; High-quality; white matte non-see through polyester fabric&bull; Fitted yoke with ruched back design&bull; Front box pleats on both front panels&bull; Full-length front zipper in white&bull; V-shaped neckline with piping&bull; Added durability with reinforced stitching&bull; Available in regular and full-fit sizes,,,
Matte White College and University Graduation Gown,White,&bull; High-quality; white matte non-see through polyester fabric&bull; Fitted yoke with ruched back design&bull; Front box pleats on both front panels&bull; Full-length front zipper in white&bull; V-shaped neckline with piping&bull; Added durability with reinforced stitching&bull; Available in regular and full-fit sizes,,,
Matte White Bachelor Graduation Gown,White,&bull; High-quality; white matte non-see through polyester fabric&bull; Fitted yoke with ruched back design&bull; Front box pleats on both front panels&bull; Full-length front zipper in white&bull; V-shaped neckline with piping&bull; Added durability with reinforced stitching&bull; Available in regular and full-fit sizes,,,
Matte Royal Blue Elementary School Graduation Gown,Royal Blue,&bull; Royal Blue matte polyester fabric&bull; Full length bodice&bull; Full long sleeves&bull; V-shaped neckline with piping&bull; Fitted yoke with ruched back&bull; Front flat pleats on each panel&bull; Reinforced stitching&bull; Comes in many sizing options&bull; Also available in other colors,,,
Matte Royal Blue Middle School and Junior High Graduation Gown,Royal Blue,&bull; Royal Blue matte polyester fabric&bull; Full length bodice&bull; Full long sleeves&bull; V-shaped neckline with piping&bull; Fitted yoke with ruched back&bull; Front flat pleats on each panel&bull; Reinforced stitching&bull; Comes in many sizing options&bull; Also available in other colors,,,
Matte Royal Blue High School Graduation Gown,Royal Blue,&bull; Royal Blue matte polyester fabric&bull; Full length bodice&bull; Full long sleeves&bull; V-shaped neckline with piping&bull; Fitted yoke with ruched back&bull; Front flat pleats on each panel&bull; Reinforced stitching&bull; Comes in many sizing options&bull; Also available in other colors,,,
Matte Royal Blue Faculty Staff Graduation Gown,Royal Blue,&bull; Royal Blue matte polyester fabric&bull; Full length bodice&bull; Full long sleeves&bull; V-shaped neckline with piping&bull; Fitted yoke with ruched back&bull; Front flat pleats on each panel&bull; Reinforced stitching&bull; Comes in many sizing options&bull; Also available in other colors,,,
Matte Royal Blue Technical and Vocational Graduation Gown,Royal Blue,&bull; Royal Blue matte polyester fabric&bull; Full length bodice&bull; Full long sleeves&bull; V-shaped neckline with piping&bull; Fitted yoke with ruched back&bull; Front flat pleats on each panel&bull; Reinforced stitching&bull; Comes in many sizing options&bull; Also available in other colors,,,
Matte Royal Blue College and University Graduation Gown,Royal Blue,&bull; Royal Blue matte polyester fabric&bull; Full length bodice&bull; Full long sleeves&bull; V-shaped neckline with piping&bull; Fitted yoke with ruched back&bull; Front flat pleats on each panel&bull; Reinforced stitching&bull; Comes in many sizing options&bull; Also available in other colors,,,
Matte Royal Blue Bachelor Graduation Gown,Royal Blue,&bull; Royal Blue matte polyester fabric&bull; Full length bodice&bull; Full long sleeves&bull; V-shaped neckline with piping&bull; Fitted yoke with ruched back&bull; Front flat pleats on each panel&bull; Reinforced stitching&bull; Comes in many sizing options&bull; Also available in other colors,,,
Matte Navy Blue Elementary Graduation Gown,Navy Blue,&bull; Navy Blue non-see through matte polyester material&bull; Full long sleeves and full length bodice&bull; V-shaped neckline with piping&bull; Ruched back; front flat pleats; and fitted yoke design&bull; Tough reinforced stitching&bull; Comes in regular and full fit sizing options&bull; Also available in other colors,,,
Matte Navy Blue Middle School and Junior High Graduation Gown,Navy Blue,&bull; Navy Blue non-see through matte polyester material&bull; Full long sleeves and full length bodice&bull; V-shaped neckline with piping&bull; Ruched back; front flat pleats; and fitted yoke design&bull; Tough reinforced stitching&bull; Comes in regular and full fit sizing options&bull; Also available in other colors,,,
Matte Navy Blue High School Graduation Gown,Navy Blue,&bull; Navy Blue non-see through matte polyester material&bull; Full long sleeves and full length bodice&bull; V-shaped neckline with piping&bull; Ruched back; front flat pleats; and fitted yoke design&bull; Tough reinforced stitching&bull; Comes in regular and full fit sizing options&bull; Also available in other colors,,,
Matte Navy Blue Faculty Staff Graduation Gown,Navy Blue,&bull; Navy Blue non-see through matte polyester material&bull; Full long sleeves and full length bodice&bull; V-shaped neckline with piping&bull; Ruched back; front flat pleats; and fitted yoke design&bull; Tough reinforced stitching&bull; Comes in regular and full fit sizing options&bull; Also available in other colors,,,
Matte Navy Blue Technical and Vocational Graduation Gown,Navy Blue,&bull; Navy Blue non-see through matte polyester material&bull; Full long sleeves and full length bodice&bull; V-shaped neckline with piping&bull; Ruched back; front flat pleats; and fitted yoke design&bull; Tough reinforced stitching&bull; Comes in regular and full fit sizing options&bull; Also available in other colors,,,
Matte Navy Blue College and University Graduation Gown,Navy Blue,&bull; Navy Blue non-see through matte polyester material&bull; Full long sleeves and full length bodice&bull; V-shaped neckline with piping&bull; Ruched back; front flat pleats; and fitted yoke design&bull; Tough reinforced stitching&bull; Comes in regular and full fit sizing options&bull; Also available in other colors,,,
Matte Navy Blue Bachelor Graduation Gown,Navy Blue,&bull; Navy Blue non-see through matte polyester material&bull; Full long sleeves and full length bodice&bull; V-shaped neckline with piping&bull; Ruched back; front flat pleats; and fitted yoke design&bull; Tough reinforced stitching&bull; Comes in regular and full fit sizing options&bull; Also available in other colors,,,
Matte Purple Elementary Graduation Gown,Purple,&bull; Matte Purple non-see through polyester material&bull; Long sleeves and full length bodice design&bull; V-neckline in a fitted yoke&bull; Ruched back design and front center pleats &bull; Front zipper allows for ease of wear&bull; Reinforced stitching&bull; Available in regular and full fit sizes&bull; Also available in other colors,,,
Matte Purple Middle School and Junior High Graduation Gown,Purple,&bull; Matte Purple non-see through polyester material&bull; Long sleeves and full length bodice design&bull; V-neckline in a fitted yoke&bull; Ruched back design and front center pleats &bull; Front zipper allows for ease of wear&bull; Reinforced stitching&bull; Available in regular and full fit sizes&bull; Also available in other colors,,,
Matte Purple High School Graduation Gown,Purple,&bull; Matte Purple non-see through polyester material&bull; Long sleeves and full length bodice design&bull; V-neckline in a fitted yoke&bull; Ruched back design and front center pleats &bull; Front zipper allows for ease of wear&bull; Reinforced stitching&bull; Available in regular and full fit sizes&bull; Also available in other colors,,,
Matte Purple Faculty Staff Graduation Gown,Purple,&bull; Matte Purple non-see through polyester material&bull; Long sleeves and full length bodice design&bull; V-neckline in a fitted yoke&bull; Ruched back design and front center pleats &bull; Front zipper allows for ease of wear&bull; Reinforced stitching&bull; Available in regular and full fit sizes&bull; Also available in other colors,,,
Matte Purple Technical and Vocational Graduation Gown,Purple,&bull; Matte Purple non-see through polyester material&bull; Long sleeves and full length bodice design&bull; V-neckline in a fitted yoke&bull; Ruched back design and front center pleats &bull; Front zipper allows for ease of wear&bull; Reinforced stitching&bull; Available in regular and full fit sizes&bull; Also available in other colors,,,
Matte Purple College and University Graduation Gown,Purple,&bull; Matte Purple non-see through polyester material&bull; Long sleeves and full length bodice design&bull; V-neckline in a fitted yoke&bull; Ruched back design and front center pleats &bull; Front zipper allows for ease of wear&bull; Reinforced stitching&bull; Available in regular and full fit sizes&bull; Also available in other colors,,,
Matte Purple Bachelor Graduation Gown,Purple,&bull; Matte Purple non-see through polyester material&bull; Long sleeves and full length bodice design&bull; V-neckline in a fitted yoke&bull; Ruched back design and front center pleats &bull; Front zipper allows for ease of wear&bull; Reinforced stitching&bull; Available in regular and full fit sizes&bull; Also available in other colors,,,
Matte Gold Elementary Graduation Gown,Gold,&bull; Matte gold polyester cloth&bull; Full length bodice and loose long sleeves&bull; Fitted yoke with ruched back and V-neckline&bull; Front flat pleats on both front panels&bull; Reinforced stitching for added durability&bull; Regular and full fit sizes available&bull; Also available in other colors,,,
Matte Gold Middle School and Junior High Graduation Gown,Gold,&bull; Matte gold polyester cloth&bull; Full length bodice and loose long sleeves&bull; Fitted yoke with ruched back and V-neckline&bull; Front flat pleats on both front panels&bull; Reinforced stitching for added durability&bull; Regular and full fit sizes available&bull; Also available in other colors,,,
Matte Gold High School Graduation Gown,Gold,&bull; Matte gold polyester cloth&bull; Full length bodice and loose long sleeves&bull; Fitted yoke with ruched back and V-neckline&bull; Front flat pleats on both front panels&bull; Reinforced stitching for added durability&bull; Regular and full fit sizes available&bull; Also available in other colors,,,
Matte Gold Faculty Staff Graduation Gown,Gold,&bull; Matte gold polyester cloth&bull; Full length bodice and loose long sleeves&bull; Fitted yoke with ruched back and V-neckline&bull; Front flat pleats on both front panels&bull; Reinforced stitching for added durability&bull; Regular and full fit sizes available&bull; Also available in other colors,,,
Matte Gold Technical and Vocational Graduation Gown,Gold,&bull; Matte gold polyester cloth&bull; Full length bodice and loose long sleeves&bull; Fitted yoke with ruched back and V-neckline&bull; Front flat pleats on both front panels&bull; Reinforced stitching for added durability&bull; Regular and full fit sizes available&bull; Also available in other colors,,,
Matte Gold College and University Graduation Gown,Gold,&bull; Matte gold polyester cloth&bull; Full length bodice and loose long sleeves&bull; Fitted yoke with ruched back and V-neckline&bull; Front flat pleats on both front panels&bull; Reinforced stitching for added durability&bull; Regular and full fit sizes available&bull; Also available in other colors,,,
Matte Gold Bachelor Graduation Gown,Gold,&bull; Matte gold polyester cloth&bull; Full length bodice and loose long sleeves&bull; Fitted yoke with ruched back and V-neckline&bull; Front flat pleats on both front panels&bull; Reinforced stitching for added durability&bull; Regular and full fit sizes available&bull; Also available in other colors,,,
Matte Red Elementary Graduation Gown,Red,&bull; Red matte polyester fabric&bull; Full-length bodice with loose long sleeves&bull; Fitted yoke with V-neckline and ruched back design&bull; Front center pleats and front zipper&bull; Reinforced stitching&bull; Various sizes available&bull; Also available in other colors,,,
Matte Red Middle School and Junior High Graduation Gown,Red,&bull; Red matte polyester fabric&bull; Full-length bodice with loose long sleeves&bull; Fitted yoke with V-neckline and ruched back design&bull; Front center pleats and front zipper&bull; Reinforced stitching&bull; Various sizes available&bull; Also available in other colors,,,
Matte Red High School Graduation Gown,Red,&bull; Red matte polyester fabric&bull; Full-length bodice with loose long sleeves&bull; Fitted yoke with V-neckline and ruched back design&bull; Front center pleats and front zipper&bull; Reinforced stitching&bull; Various sizes available&bull; Also available in other colors,,,
Matte Red Faculty Staff Graduation Gown,Red,&bull; Red matte polyester fabric&bull; Full-length bodice with loose long sleeves&bull; Fitted yoke with V-neckline and ruched back design&bull; Front center pleats and front zipper&bull; Reinforced stitching&bull; Various sizes available&bull; Also available in other colors,,,
Matte Red Technical and Vocational Graduation Gown,Red,&bull; Red matte polyester fabric&bull; Full-length bodice with loose long sleeves&bull; Fitted yoke with V-neckline and ruched back design&bull; Front center pleats and front zipper&bull; Reinforced stitching&bull; Various sizes available&bull; Also available in other colors,,,
Matte Red College and University Graduation Gown,Red,&bull; Red matte polyester fabric&bull; Full-length bodice with loose long sleeves&bull; Fitted yoke with V-neckline and ruched back design&bull; Front center pleats and front zipper&bull; Reinforced stitching&bull; Various sizes available&bull; Also available in other colors,,,
Matte Red Bachelor Graduation Gown,Red,&bull; Red matte polyester fabric&bull; Full-length bodice with loose long sleeves&bull; Fitted yoke with V-neckline and ruched back design&bull; Front center pleats and front zipper&bull; Reinforced stitching&bull; Various sizes available&bull; Also available in other colors,,,
Matte Maroon Elementary Graduation Gown,Maroon,&bull; Matte maroon polyester material&bull; Long sleeves and full-length bodice&bull; With V-neckline in a fitted yoke&bull; Front flat pleats and ruched back for easy fit&bull; Durability ensured with reinforced stitching&bull; Regular and full fit sizes available&bull; Also available in other colors,,,
Matte Maroon Middle School and Junior High Graduation Gown,Maroon,&bull; Matte maroon polyester material&bull; Long sleeves and full-length bodice&bull; With V-neckline in a fitted yoke&bull; Front flat pleats and ruched back for easy fit&bull; Durability ensured with reinforced stitching&bull; Regular and full fit sizes available&bull; Also available in other colors,,,
Matte Maroon High School Graduation Gown,Maroon,&bull; Matte maroon polyester material&bull; Long sleeves and full-length bodice&bull; With V-neckline in a fitted yoke&bull; Front flat pleats and ruched back for easy fit&bull; Durability ensured with reinforced stitching&bull; Regular and full fit sizes available&bull; Also available in other colors,,,
Matte Maroon Faculty Staff Graduation Gown,Maroon,&bull; Matte maroon polyester material&bull; Long sleeves and full-length bodice&bull; With V-neckline in a fitted yoke&bull; Front flat pleats and ruched back for easy fit&bull; Durability ensured with reinforced stitching&bull; Regular and full fit sizes available&bull; Also available in other colors,,,
Matte Maroon Technical and Vocational Graduation Gown,Maroon,&bull; Matte maroon polyester material&bull; Long sleeves and full-length bodice&bull; With V-neckline in a fitted yoke&bull; Front flat pleats and ruched back for easy fit&bull; Durability ensured with reinforced stitching&bull; Regular and full fit sizes available&bull; Also available in other colors,,,
Matte Maroon College and University Graduation Gown,Maroon,&bull; Matte maroon polyester material&bull; Long sleeves and full-length bodice&bull; With V-neckline in a fitted yoke&bull; Front flat pleats and ruched back for easy fit&bull; Durability ensured with reinforced stitching&bull; Regular and full fit sizes available&bull; Also available in other colors,,,
Matte Maroon Bachelor Graduation Gown,Maroon,&bull; Matte maroon polyester material&bull; Long sleeves and full-length bodice&bull; With V-neckline in a fitted yoke&bull; Front flat pleats and ruched back for easy fit&bull; Durability ensured with reinforced stitching&bull; Regular and full fit sizes available&bull; Also available in other colors,,,
Matte Green Elementary Graduation Gown,Green,&bull; Green matte; non-see through polyester fabric&bull; Long sleeves with full length bodice design&bull; V-shaped neckline and fitted yoke&bull; Ruched back and front flat pleats for a comfortable fit&bull; Reinforced stitching for added strength&bull; Regular and full fit sizing options available&bull; Also available in other colors,,,
Matte Green Middle School and Junior High Graduation Gown,Green,&bull; Green matte; non-see through polyester fabric&bull; Long sleeves with full length bodice design&bull; V-shaped neckline and fitted yoke&bull; Ruched back and front flat pleats for a comfortable fit&bull; Reinforced stitching for added strength&bull; Regular and full fit sizing options available&bull; Also available in other colors,,,
Matte Green High School Graduation Gown,Green,&bull; Green matte; non-see through polyester fabric&bull; Long sleeves with full length bodice design&bull; V-shaped neckline and fitted yoke&bull; Ruched back and front flat pleats for a comfortable fit&bull; Reinforced stitching for added strength&bull; Regular and full fit sizing options available&bull; Also available in other colors,,,
Matte Green Faculty Staff Graduation Gown,Green,&bull; Green matte; non-see through polyester fabric&bull; Long sleeves with full length bodice design&bull; V-shaped neckline and fitted yoke&bull; Ruched back and front flat pleats for a comfortable fit&bull; Reinforced stitching for added strength&bull; Regular and full fit sizing options available&bull; Also available in other colors,,,
Matte Green Technical and Vocational Graduation Gown,Green,&bull; Green matte; non-see through polyester fabric&bull; Long sleeves with full length bodice design&bull; V-shaped neckline and fitted yoke&bull; Ruched back and front flat pleats for a comfortable fit&bull; Reinforced stitching for added strength&bull; Regular and full fit sizing options available&bull; Also available in other colors,,,
Matte Green College and University Graduation Gown,Green,&bull; Green matte; non-see through polyester fabric&bull; Long sleeves with full length bodice design&bull; V-shaped neckline and fitted yoke&bull; Ruched back and front flat pleats for a comfortable fit&bull; Reinforced stitching for added strength&bull; Regular and full fit sizing options available&bull; Also available in other colors,,,
Matte Green Bachelor Graduation Gown,Green,&bull; Green matte; non-see through polyester fabric&bull; Long sleeves with full length bodice design&bull; V-shaped neckline and fitted yoke&bull; Ruched back and front flat pleats for a comfortable fit&bull; Reinforced stitching for added strength&bull; Regular and full fit sizing options available&bull; Also available in other colors,,,
Matte Emerald Green Elementary Graduation Gown,Green,&bull; Emerald green matte polyester cloth&bull; Full length bodice with full long sleeves&bull; Fitted yoke with V-neckline&bull; Front center pleats and ruched back design&bull; Reinforced stitching&bull; Numerous sizing options available&bull; Also available in other colors,,,
Matte Emerald Green Middle School and Junior High Graduation Gown,Green,&bull; Emerald green matte polyester cloth&bull; Full length bodice with full long sleeves&bull; Fitted yoke with V-neckline&bull; Front center pleats and ruched back design&bull; Reinforced stitching&bull; Numerous sizing options available&bull; Also available in other colors,,,
Matte Emerald Green High School Graduation Gown,Green,&bull; Emerald green matte polyester cloth&bull; Full length bodice with full long sleeves&bull; Fitted yoke with V-neckline&bull; Front center pleats and ruched back design&bull; Reinforced stitching&bull; Numerous sizing options available&bull; Also available in other colors,,,
Matte Emerald Green Faculty Staff Graduation Gown,Green,&bull; Emerald green matte polyester cloth&bull; Full length bodice with full long sleeves&bull; Fitted yoke with V-neckline&bull; Front center pleats and ruched back design&bull; Reinforced stitching&bull; Numerous sizing options available&bull; Also available in other colors,,,
Matte Emerald Green Technical and Vocational Graduation Gown,Green,&bull; Emerald green matte polyester cloth&bull; Full length bodice with full long sleeves&bull; Fitted yoke with V-neckline&bull; Front center pleats and ruched back design&bull; Reinforced stitching&bull; Numerous sizing options available&bull; Also available in other colors,,,
Matte Emerald Green College and University Graduation Gown,Green,&bull; Emerald green matte polyester cloth&bull; Full length bodice with full long sleeves&bull; Fitted yoke with V-neckline&bull; Front center pleats and ruched back design&bull; Reinforced stitching&bull; Numerous sizing options available&bull; Also available in other colors,,,
Matte Emerald Green Bachelor Graduation Gown,Green,&bull; Emerald green matte polyester cloth&bull; Full length bodice with full long sleeves&bull; Fitted yoke with V-neckline&bull; Front center pleats and ruched back design&bull; Reinforced stitching&bull; Numerous sizing options available&bull; Also available in other colors,,,
Matte Black Elementary Graduation Gown,Black,&bull; Black high quality matte polyester fabric&bull; Fitted yoke design&bull; Front flat pleats&bull; Front full-length zipper in black&bull; V-neckline&bull; Reinforced stitching&bull; Available in regular and full-fit sizes,,,
Matte Black Middle School and Junior High Graduation Gown,Black,&bull; Black high quality matte polyester fabric&bull; Fitted yoke design&bull; Front flat pleats&bull; Front full-length zipper in black&bull; V-neckline&bull; Reinforced stitching&bull; Available in regular and full-fit sizes,,,
Matte Black High School Graduation Gown,Black,&bull; Black high quality matte polyester fabric&bull; Fitted yoke design&bull; Front flat pleats&bull; Front full-length zipper in black&bull; V-neckline&bull; Reinforced stitching&bull; Available in regular and full-fit sizes,,,
Matte Black Faculty Staff Graduation Gown,Black,&bull; Black high quality matte polyester fabric&bull; Fitted yoke design&bull; Front flat pleats&bull; Front full-length zipper in black&bull; V-neckline&bull; Reinforced stitching&bull; Available in regular and full-fit sizes,,,
Matte Black Technical and Vocational Graduation Gown,Black,&bull; Black high quality matte polyester fabric&bull; Fitted yoke design&bull; Front flat pleats&bull; Front full-length zipper in black&bull; V-neckline&bull; Reinforced stitching&bull; Available in regular and full-fit sizes,,,
Matte Black College and University Graduation Gown,Black,&bull; Black high quality matte polyester fabric&bull; Fitted yoke design&bull; Front flat pleats&bull; Front full-length zipper in black&bull; V-neckline&bull; Reinforced stitching&bull; Available in regular and full-fit sizes,,,
Matte Black Bachelor Graduation Gown,Black,&bull; Black high quality matte polyester fabric&bull; Fitted yoke design&bull; Front flat pleats&bull; Front full-length zipper in black&bull; V-neckline&bull; Reinforced stitching&bull; Available in regular and full-fit sizes,,,
Shiny Hunter Green College and University Graduation Gown,Hunter Green,&bull; Hunter green polyester cloth with matte finish&bull; Full long sleeves and full length bodice&bull; V-neckline with fitted yoke&bull; Ruched back design and front pleats allow for comfortable fit&bull; Durable reinforced stitching&bull; Regular and full fit sizing options available&bull; Also available in other colors,,,
Shiny Hunter Green Bachelor Graduation Gown,Hunter Green,Shiny Hunter Gown  &bull;Sleek; non see through shiny finish  &bull;Reinforced stitching throughout the gown  &bull;Hunter shiny tricot fabric  &bull;Durable zipper in matching Hunter color  &bull;Classic center pleats in the front of the gown  &bull;Comfortable darted yoke,,,
Shiny Hunter Green College and University Graduation Gown,Hunter Green,&bull; Sleek; non see through shiny finish&bull; Reinforced stitching throughout the gown&bull; Hunter shiny tricot fabric&bull; Durable zipper in matching Hunter color&bull; Classic center pleats in the front of the gown&bull; Comfortable darted yoke,,,
Shiny Hunter Green Technical and Vocational Graduation Gown,Hunter Green,Shiny Hunter Gown  &bull; Premium quality hunter green tricot fabric&bull; Front box pleats on both sides of the bodice&bull; Fitted yoke with ruched back design&bull; V-neckline with piping&bull; Full long sleeves&bull; Comes with reinforced stitching&bull; Order in a variety of sizes&bull; Comes in other colors,,,
Shiny Hunter Green Faculty Staff Graduation Gown,Hunter Green,Shiny Hunter Gown  &bull; Premium quality hunter green tricot fabric &bull; Front box pleats on both sides of the bodice &bull; Fitted yoke with ruched back design &bull; V-neckline with piping &bull; Full long sleeves &bull; Comes with reinforced stitching &bull; Order in a variety of sizes &bull; Comes in other colors,,,
Shiny Hunter Green High School Graduation Gown,Hunter Green,Shiny Hunter Gown  &bull; Premium quality hunter green tricot fabric &bull; Front box pleats on both sides of the bodice &bull; Fitted yoke with ruched back design &bull; V-neckline with piping &bull; Full long sleeves &bull; Comes with reinforced stitching &bull; Order in a variety of sizes &bull; Comes in other colors,,,
Shiny Hunter Green Middle School and Junior High Graduation Gown,Hunter Green,Shiny Hunter Gown  &bull; Premium quality hunter green tricot fabric &bull; Front box pleats on both sides of the bodice &bull; Fitted yoke with ruched back design &bull; V-neckline with piping &bull; Full long sleeves &bull; Comes with reinforced stitching &bull; Order in a variety of sizes &bull; Comes in other colors,,,
Shiny Hunter Green Elementary Graduation Gown,Hunter Green,Shiny Hunter Gown  &bull; Premium quality hunter green tricot fabric &bull; Front box pleats on both sides of the bodice &bull; Fitted yoke with ruched back design &bull; V-neckline with piping &bull; Full long sleeves &bull; Comes with reinforced stitching &bull; Order in a variety of sizes &bull; Comes in other colors,,,